problemcode,problemcode,persongroup,failurecode,PROBLEMCAUSE,PROBLEMREMEDY,faildate (bins),worktype,wonum,faildate-daycalendar,Problem_description,WODESCRIPTION,SRNUMBER,fail_MonthYearShort,Failure_Code_Descr,SYSTEM,location,subsystem,TramNumber,location - Copy.1,location - Copy.2,location - Copy.3,location - Copy.4,location - Copy.5,location - Copy.6,status,RST CATEGORY
COVER OPEN,COVER OPEN,CIEM,FC-TRKS,COVER SWITCHES,ADJUSTMENT,September 2017,COR,167687,"Saturday, September 16, 2017",COVER OPEN,SL23 got discordant while Tram is above it,33283,sept.-17,FC-TRKS COVER OPEN COVER SWITCHES,TRK,DXBT01-A5A5-ST1-TRKS-SL23,TRKSWITCH,,DXBT01,A5A5,ST1,TRKS,SL23,,CLOSE,
COVER OPEN,COVER OPEN,CIEFFFFM,FC-TRKS,COVER LOSEN,FIX COVER LOCK,June 2017,COR,161731,"Thursday, June 15, 2017",COVER OPEN,SL39 open trap indication in SCADA,31202,Jun/2017,FC-TRKS COVER OPEN COVER LOSEN,TRK,DXBT01-A7A7-TR1-TRKS-SL39,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL39,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,GREASE ACCUMULATION,REMOVE,January 2017,COR,155005,"Friday, January 27, 2017",discordance of switch,Depot / SL 41,27217,janv.-17,FC-TRKS DISCORDANCE GREASE ACCUMULATION,TRK,DXBT01-A7A7-TR1-TRKS-SL41,TRKSWITCH,,DXBT01,A7A7,TR1,TRKS,SL41,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,GREASE ACCUMULATION,REMOVE,August 2017,COR,165861,"Saturday, August 5, 2017",discordance of switch,SD04 Switch discordant in straight position,32450,Aug/2017,FC-TRKS DISCORDANCE GREASE ACCUMULATION,TRK,DXBT01-DEP-ZA-DO3.1-TRKS-SD04,TRKSWITCH,,DXBT01,DEP,ZA,DO3.1,TRKS,SD04,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,GREASE ACCUMULATION,REMOVE,February 2019,COR,204204,"Thursday, February 21, 2019",discordance of switch,SL 53 Discordant,42094,Feb/2019,FC-TRKS DISCORDANCE GREASE ACCUMULATION,TRK,DXBT01-A6A5-TR1-TRKS-SL53,TRKSWITCH,,DXBT01,A6A5,TR1,TRKS,SL53,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,HARD OBSTACLE,REMOVE OBSTACLE,May 2017,COR,159540,"Tuesday, May 16, 2017",discordance of switch,SL53 discordant when Tram passes over the switch,30459,May/2017,FC-TRKS DISCORDANCE HARD OBSTACLE,TRK,DXBT01-A6A5-TR1-TRKS-SL53,TRKSWITCH,,DXBT01,A6A5,TR1,TRKS,SL53,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,HARD OBSTACLE,REMOVE OBSTACLE,July 2017,COR,163838,"Friday, July 14, 2017",discordance of switch,SL 25 discordant in reverse position,31918,Jul/2017,FC-TRKS DISCORDANCE HARD OBSTACLE,TRK,DXBT01-A5A5-TR1-TRKS-SL25,TRKSWITCH,,DXBT01,A5A5,TR1,TRKS,SL25,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,HARD OBSTACLE,REMOVE OBSTACLE,January 2018,COR,175597,"Monday, January 22, 2018",discordance of switch,ST09 Track 2 SL24 discordant after RRV crossed the switch,35794,janv.-18,FC-TRKS DISCORDANCE HARD OBSTACLE,TRK,DXBT01-A5A5-TR2-TRKS-SL24,TRKSWITCH,,DXBT01,A5A5,TR2,TRKS,SL24,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,HARD OBSTACLE,REMOVE OBSTACLE,February 2018,COR,179184,"Monday, February 26, 2018",discordance of switch,SL 19 Discordant,36371,Feb/2018,FC-TRKS DISCORDANCE HARD OBSTACLE,TRK,DXBT01-A5A5-TR1-TRKS-SL19,TRKSWITCH,,DXBT01,A5A5,TR1,TRKS,SL19,,CLOSE,
DISCORDANCE,DISCORDANCE,CIEM,FC-TRKS,HARD OBSTACLE,REMOVE OBSTACLE,March 2018,COR,179446,"Friday, March 2, 2018",discordance of switch,SL52 discordant in reverse position,36452,mars-18,FC-TRKS DISCORDANCE HARD OBSTACLE,TRK,DXBT01-A6A5-TR2-TRKS-SL52,TRKSWITCH,,DXBT01,A6A5,TR2,TRKS,SL52,,CLOSE,
