Point Name,Date of Point Failure,Time,Description of Fault Symptoms,Details on final root causes of incident/fault,Photo Evidences,Alstom Maintenance/MTS Trackwork/SJV (defect delivery)
PT_CHW21,12/05/2019,14:05,"Point CHW21 was reported failed to ""Normal"" ","1) Spring assist device out of adjustment
2) Lack of chair plate lubrication ",,MTS Trackwork
PT_CHW21,13/05/2019,13:00,CHW21 points failed in reverse after train turned back.,"2) Spring assist device out of adjustment
2) Lack of chair plate lubrication ",,MTS Trackwork
PT_CHW21,19/05/2019,10:04,"10:04 - T17 at CHW Platform 2 would not move. Tried One Step Move and also clearing train ID and re modifying train ID without success. ATS showed a Hold Type by ATC. CHW21 points have failed in reverse. No ATS alarm. Only notification of points failure was when tried to swing into Normal on ATS.
10:12 - RRU advised. Headway changed to run via Platform 3. T02 which had stopped behing T17 moved back to NTR and then in Headway. T17 at CHW was moved via CHW23 points to the Down line and into the Headway. Will continue to run via Platform 3 with 8 train CUD - CHW until points fixed. 
12:32 - Route Blocking issued to PO to inspect points.
12:53 - Points tested at engineer request and now working. Engineer stated reason for failure maintenence. 
13:01 - Route Blocking fulfilled.
13:05 - Timetable resumed using CHW turnback. ","3) Spring assist device out of adjustment
2) Lack of chair plate lubrication ",,MTS Trackwork
PT_CHW21,18/06/2019,03:10,"CHW - Points CHW21 slow to operate the first operation in the normal position.
Then operated points few more operations in both directions with success.","4) Spring assist device out of adjustment
2) Lack of chair plate lubrication ",,MTS Trackwork
PT_CHW21,18/06/2019,11:06,"11:06 Noted on arrival of train 16 to CHW platform 2, CHW 21 points in reverse position. 
Route from SI 3108 to turnback cancelled, TC2 attempted to move CHW 21 points via ATS commands. CHW21 failed to move from the reverse position. 
CHW 21 declared failed. 
Service contingency implemented at CHW, all up services to arrive and depart from CHW platform 3. Station Controller advised. Station staff advised. CJC-Ts advised. PA announcements made on trains (note: not all PAs are working). Train 16 held at platform 2 to allow customers on platform 3 to make their way to platform 2. 
Train 14 brought into platform 3 CHW before train 16 released from platform 2 CHW. 
Train 16 delayed 7 minutes. 12:02, route block authorised by TC2 to inspect CHW 21 points.
12:35, certified ok, points swung manually and then remotely via ATS. Route blocking ended 12:25hrs. Train 6 first service back to normal. No issues when arriving in turnback.","5) Spring assist device out of adjustment
2) Lack of chair plate lubrication ",,MTS Trackwork
PT_CHW21,28/06/2019,11:30,"11:27 -  CHW21 points at Chatswood turnback have failed in reverse. T21 on Platfaorm 2 will have its passengers transferred to Platform 3 which will be the arrival and departure point at Chatswood until the problem has been rectified. No impact on services at this stage. TMC and the ROC have been advised. 
11:32 - The FRC are on their way to attend with an ETA of approx 40mins. T07 has been diverted to Platform 3. 
11:39 - T21 sent to NTR Down platform. 
12:24 - Route Blocking issued to PO to rectify points. 
12:45 - CHW21 points failure at Chatswood has been rectified, but will remain under observation by the Alstom Engineer. ain on Platform 2 will be moved into the Turbnback as normal and will then enter back into the timetable service. TMC have been advised. Total incident time to return to normal services : 1 hour 8 mins .","6) Spring assist device out of adjustment
2) Lack of chair plate lubrication ",,MTS Trackwork
PT_CHW21,29/06/2019,11:20,"11:20 - Points CHW21 did not swing to normal position whilst TS10 waiting to depart from Platform 2. Attempted to manually operate Points CHW21, no respond. TMC have been advised.
11:22: SC 2-PA to all CJC-S on Brownfield line
11:22: SC 2 -PA announcement at CHW platform 
11:22 TS10 was sent to NTR from Platform 2 to commence degraded operations.
11:29 FRC and MSO notified by CC
11:28 Commenced CHW Platform 3 operations for all services, PA announcements made for all approaching services to CHW.
11:30 Route blocking, Signal blocked, ARS removed and GAMA removed from CHW City end to buffer in preparation for track access. 
12:37 Alstom Engineer onsite at CHW.
13:10: SC 2 - Updated PA announcement to confirm services have gone back to normal, advised CJC-S at Chatswood  12:49 Route blocking 009 issued to PO.
12:57 ALstom Engineer performed several test on Points CHW21 and TC2 was able to manually operate from ATS
","7) Spring assist device out of adjustment
2) Lack of chair plate lubrication ",,MTS Trackwork
PT_CHW21,12/09/2019,13:50,"Train terminated on No. 2 at Chatswood, routed into the turnback to return to platform 3. Whilst train transitting No. 21 points, train came to a stand after delocalising.
No. 21 points then noted to lose detection and indicate that they had gone into transit. on board CJC-T contacted and verified train was not derailed.  Signalling buffer prevented routing following trains into no. 2 or 3 platforms.","8) Spring assist device out of adjustment
2) Lack of chair plate lubrication ",,MTS Trackwork
PT_CHW21,20/09/2019,04:42,"21 Points appeared to fail at CHW
Road set but failed to call the points. points laying  in the reverse.
Signal 3108 was at stop was the main indicator tat the road wasn't correctly set.
Multiple attempts to swing the points failed.
Train ID removed to see if that assisted with the points. 
Road from signal 3108 to the turnback taken off, then several attempts to swing the points until final put in the normal.
Train ID re established then the train 1 stepped into the turnback, resumed mission and the train departed in UTO towards CHW platform 3. 
Train doors failed to open
Platform hold placed but too late and train departed 7 minutes late without opening the doors at CHW down.
Next service 3 minutes later
train hold applied at NTR down where doors operated normally
CJC-T on board reported continuous alarms from under DDU panel, DOM contacted and advised its from the storage of alarms","9) Spring assist device out of adjustment
2) Lack of chair plate lubrication ",,MTS Trackwork
PT_CHW21,23/09/2019,02:58,"Following the passage of Train Set Number 20 from the Up Turnback to Platform Number 3 - CHW21 Points failed to travel to the Reverse Position.
Note: Train Set Number 20 delocalised whilst travelling from the Up Turnback to Platform Number 3 and had to be manually operated in RM to platform Number 3.
Certified ok for normal use at 04:56 hours.
Cause: Points Detection out of Adjustment.","10) Spring assist device out of adjustment
2) Lack of chair plate lubrication ",,MTS Trackwork
